ROI,Weights,Atlas,Task
7Networks_RH_SalVentAttn_Med_4,0.001652917758436097,schaefer,rest
7Networks_RH_SalVentAttn_Med_5,0.027047128363822257,schaefer,rest
7Networks_RH_SalVentAttn_Med_6,-0.0053244709987432665,schaefer,rest
7Networks_RH_SalVentAttn_Med_7,0.0027458611842770607,schaefer,rest
7Networks_RH_SalVentAttn_Med_8,0.0007165041932156152,schaefer,rest
7Networks_RH_Limbic_OFC_1,-0.0037289887736922096,schaefer,rest
7Networks_RH_Limbic_OFC_2,0.0008509037237765944,schaefer,rest
7Networks_RH_Limbic_OFC_3,-0.012414280893867412,schaefer,rest
7Networks_RH_Limbic_OFC_4,0.0016873880328975596,schaefer,rest
7Networks_RH_Limbic_OFC_5,0.0005420825296954427,schaefer,rest
7Networks_RH_Limbic_OFC_6,-0.0006072889596750307,schaefer,rest
7Networks_RH_Limbic_TempPole_1,0.0010889729694927447,schaefer,rest
7Networks_RH_Limbic_TempPole_2,-0.0005162895248731106,schaefer,rest
7Networks_RH_Limbic_TempPole_3,-0.004235300157215382,schaefer,rest
7Networks_RH_Limbic_TempPole_4,-0.00022824097479854489,schaefer,rest
7Networks_RH_Limbic_TempPole_5,-0.002710538988781826,schaefer,rest
7Networks_RH_Limbic_TempPole_6,0.0011300173572948628,schaefer,rest
7Networks_RH_Limbic_TempPole_7,0.005306773208058632,schaefer,rest
7Networks_RH_Cont_Par_1,0.006656865212953192,schaefer,rest
7Networks_RH_Cont_Par_2,0.0042639843601505675,schaefer,rest
7Networks_RH_Cont_Par_3,-0.002677156198869567,schaefer,rest
7Networks_RH_Cont_Par_4,0.006001433571726294,schaefer,rest
7Networks_RH_Cont_Par_5,-0.0149719538003882,schaefer,rest
7Networks_RH_Cont_Par_6,-0.0015801566865229731,schaefer,rest
7Networks_RH_Cont_Temp_1,4.0004720940980476e-05,schaefer,rest
7Networks_RH_Cont_Temp_2,-0.0061392486606505516,schaefer,rest
7Networks_RH_Cont_PFCv_1,-0.006758966205707999,schaefer,rest
7Networks_RH_Cont_PFCl_1,-0.0022555184631266488,schaefer,rest
7Networks_RH_Cont_PFCl_2,0.002733876475472162,schaefer,rest
7Networks_RH_Cont_PFCl_3,0.00627887597525428,schaefer,rest
7Networks_RH_Cont_PFCl_4,0.0015623324355003515,schaefer,rest
7Networks_RH_Cont_PFCl_5,0.004366849091506135,schaefer,rest
7Networks_RH_Cont_PFCl_6,-0.0359780883159993,schaefer,rest
7Networks_RH_Cont_PFCl_7,0.009731471348670293,schaefer,rest
7Networks_RH_Cont_PFCl_8,-0.004903400107415965,schaefer,rest
7Networks_RH_Cont_PFCl_9,-0.04484804271943266,schaefer,rest
7Networks_RH_Cont_PFCl_10,0.0016999243512158238,schaefer,rest
7Networks_RH_Cont_PFCl_11,0.005272549547153474,schaefer,rest
7Networks_RH_Cont_PFCl_12,-0.01005362531995017,schaefer,rest
7Networks_RH_Cont_PFCl_13,0.0010335028403776934,schaefer,rest
7Networks_RH_Cont_PFCl_14,-0.018138967163264037,schaefer,rest
7Networks_RH_Cont_PFCl_15,0.008207575728094137,schaefer,rest
7Networks_RH_Cont_pCun_1,-0.03419039518613756,schaefer,rest
7Networks_RH_Cont_pCun_2,0.030097024488233027,schaefer,rest
7Networks_RH_Cont_Cing_1,-0.031188280035416766,schaefer,rest
7Networks_RH_Cont_Cing_2,0.01321031077666244,schaefer,rest
7Networks_RH_Cont_PFCmp_1,-0.018309704932510745,schaefer,rest
7Networks_RH_Cont_PFCmp_2,-0.03579862533046492,schaefer,rest
7Networks_RH_Default_Par_1,0.004696718456766762,schaefer,rest
7Networks_RH_Default_Par_2,0.004939943087054583,schaefer,rest
7Networks_RH_Default_Par_3,0.023101887826179838,schaefer,rest
7Networks_RH_Default_Par_4,0.013278995455795807,schaefer,rest
7Networks_RH_Default_Par_5,3.058113482960779e-05,schaefer,rest
