Subject,Task,Network,Value
sub-27,fe,Limbic,0.0006597749954822755
sub-27,fe,Frontoparietal,0.08194983375670759
sub-27,fe,Default,-0.059604249067222434
sub-28,fe,Visual,0.055453181339509466
sub-28,fe,Somatomotor,-0.009821485086730126
sub-28,fe,DorsalAttention,-0.003251924138598522
sub-28,fe,VentralAttention,0.014472716239739947
sub-28,fe,Limbic,-3.073393897579015e-05
sub-28,fe,Frontoparietal,-0.0289837317894219
sub-28,fe,Default,-0.049108875833382803
sub-29,fe,Visual,0.08996342093934974
sub-29,fe,Somatomotor,-0.07742906288786487
sub-29,fe,DorsalAttention,0.010868211826637405
sub-29,fe,VentralAttention,-0.146412552937321
sub-29,fe,Limbic,0.004517293847200589
sub-29,fe,Frontoparietal,-0.02179481620463097
sub-29,fe,Default,-0.01623406733754361
sub-30,fe,Visual,-0.014856843184117162
sub-30,fe,Somatomotor,0.06366111651220041
sub-30,fe,DorsalAttention,-0.018014052834024564
sub-30,fe,VentralAttention,-0.025652431795157003
sub-30,fe,Limbic,-0.005806571839746701
sub-30,fe,Frontoparietal,-0.01088735264177283
sub-30,fe,Default,-0.018004829261121735
sub-31,fe,Visual,-0.040046486163859384
sub-31,fe,Somatomotor,0.04391806763958421
sub-31,fe,DorsalAttention,-0.01588873631801943
sub-31,fe,VentralAttention,0.06718768983390348
sub-31,fe,Limbic,-0.019889119872936716
sub-31,fe,Frontoparietal,0.03318410481509719
sub-31,fe,Default,0.04979064980179058
sub-32,fe,Visual,0.004297516177236763
sub-32,fe,Somatomotor,-0.02917724809050417
sub-32,fe,DorsalAttention,-0.07827156528470565
sub-32,fe,VentralAttention,-0.014776002224513777
sub-32,fe,Limbic,0.0
sub-32,fe,Frontoparietal,-0.028967298269582796
sub-32,fe,Default,-0.013801382259259524
sub-33,fe,Visual,0.13284868139444925
sub-33,fe,Somatomotor,0.06533218458402447
sub-33,fe,DorsalAttention,-0.007818671124171271
sub-33,fe,VentralAttention,0.029946984111527485
sub-33,fe,Limbic,-0.0007879663372682044
sub-33,fe,Frontoparietal,-0.07233582873410913
sub-33,fe,Default,-0.1695283999844769
sub-34,fe,Visual,0.030084384911001842
sub-34,fe,Somatomotor,-0.05696656112782374
sub-34,fe,DorsalAttention,-0.0316490387574664
sub-34,fe,VentralAttention,-0.018387487813726348
sub-34,fe,Limbic,-4.3208281034077037e-07
sub-34,fe,Frontoparietal,-0.04632620113637473
sub-34,fe,Default,-0.037905055390435774
sub-35,fe,Visual,0.036273682313770775
sub-35,fe,Somatomotor,0.018157632530816682
sub-35,fe,DorsalAttention,0.04276312708467892
sub-35,fe,VentralAttention,0.01576685778954093
