Subject,Task,Network,Value
sub-32,fe,DorsalAttention,0.20399009308936705
sub-32,fe,VentralAttention,0.11598923717096746
sub-32,fe,Limbic,0.0
sub-32,fe,Frontoparietal,0.10464640489119333
sub-32,fe,Default,0.10117785876584877
sub-33,fe,Visual,0.18067110653416843
sub-33,fe,Somatomotor,0.16013928025895058
sub-33,fe,DorsalAttention,0.1548862195782273
sub-33,fe,VentralAttention,0.21891442424105537
sub-33,fe,Limbic,0.000626966775201375
sub-33,fe,Frontoparietal,0.13428506904129342
sub-33,fe,Default,0.17318786032468317
sub-34,fe,Visual,0.14947940932767345
sub-34,fe,Somatomotor,0.14291053569985457
sub-34,fe,DorsalAttention,0.16379592139730742
sub-34,fe,VentralAttention,0.13541911839776982
sub-34,fe,Limbic,4.320828103407703e-07
sub-34,fe,Frontoparietal,0.100631101854009
sub-34,fe,Default,0.09571594100479461
sub-35,fe,Visual,0.12099481553597155
sub-35,fe,Somatomotor,0.13511088299375157
sub-35,fe,DorsalAttention,0.13275876395673158
sub-35,fe,VentralAttention,0.12511780581427506
sub-35,fe,Limbic,3.2450890681432382e-09
sub-35,fe,Frontoparietal,0.09200021175973602
sub-35,fe,Default,0.0836591640293082
sub-36,fe,Visual,0.17028473993281018
sub-36,fe,Somatomotor,0.18214643176457435
sub-36,fe,DorsalAttention,0.18621153938454207
sub-36,fe,VentralAttention,0.2648452623473868
sub-36,fe,Limbic,0.031737393352868334
sub-36,fe,Frontoparietal,0.22242471834629476
sub-36,fe,Default,0.1919267784668392
sub-37,fe,Visual,0.16571502018615303
sub-37,fe,Somatomotor,0.20216714248738912
sub-37,fe,DorsalAttention,0.19167065264186406
sub-37,fe,VentralAttention,0.15370983141865419
sub-37,fe,Limbic,3.381434855385008e-08
sub-37,fe,Frontoparietal,0.1113770394369219
sub-37,fe,Default,0.12445710411117968
sub-38,fe,Visual,0.16901876518325343
sub-38,fe,Somatomotor,0.1362031088050556
sub-38,fe,DorsalAttention,0.14581774067610537
sub-38,fe,VentralAttention,0.1453447002567235
sub-38,fe,Limbic,9.175010645238678e-07
sub-38,fe,Frontoparietal,0.11590599544146726
sub-38,fe,Default,0.10783369364126565
sub-39,fe,Visual,0.16491208573569077
sub-39,fe,Somatomotor,0.17697370448829025
sub-39,fe,DorsalAttention,0.1852916072515098
sub-39,fe,VentralAttention,0.23589891359003956
sub-39,fe,Limbic,0.06575863265444612
sub-39,fe,Frontoparietal,0.18728898333164568
sub-39,fe,Default,0.16785692805769442
sub-40,fe,Visual,0.13297896126493228
sub-40,fe,Somatomotor,0.12823358699000614
sub-40,fe,DorsalAttention,0.1350281863919559
sub-40,fe,VentralAttention,0.1253189428377986
sub-40,fe,Limbic,8.826954885151386e-07
sub-40,fe,Frontoparietal,0.08755905210723872
sub-40,fe,Default,0.07338259650910561
